step,jet-train-acc,jet-validate-acc,jet-test-acc,,red-train-acc,red-validate-acc,red-test-acc,,fu-jet-train-acc,fu-jet-validate-acc,fu-jet-test-acc,,vgg-train-acc,vgg-validate-acc,vgg-test-acc,,fu-red-train-acc,fu-red-validate-acc,fu-red-test-acc,,3-jet-train-acc,3-jet-validate-acc,3-jet-test-acc
0,0.626047157,0.661892574,0.669573101,,0.562565292,0.590056036,0.594520028,,0.642147184,0.726332319,0.727023701,,0.620489337,0.724288912,0.730335524,,0.555045265,0.669429618,0.673092636,,0.648617239,0.748114758,0.755998565
1000,0.672543011,0.725586986,0.730106216,,0.580708246,0.621346353,0.626082379,,0.637823735,0.725918411,0.726613921,,0.637084991,0.749415568,0.754869329,,0.541145501,0.654163381,0.65749258,,0.650961586,0.751688563,0.759394509
2000,0.694244211,0.719322703,0.724762979,,0.595670905,0.626396132,0.631139313,,0.637288899,0.72405337,0.724727311,,0.659262883,0.753564598,0.759159232,,0.552322343,0.677783386,0.681299032,,0.655592421,0.754933269,0.762512626
3000,0.698943661,0.723184571,0.728403116,,0.599149291,0.629465869,0.634186012,,0.623176493,0.707776361,0.708332862,,0.64584133,0.73083028,0.736294544,,0.571481319,0.682275069,0.685923877,,0.659992377,0.757906708,0.765385258
4000,0.702695816,0.72427937,0.729194857,,0.602215687,0.631079826,0.636766984,,0.608645425,0.707588196,0.708083077,,0.624336805,0.724995898,0.730336037,,0.574702142,0.684049887,0.687642463,,0.662719715,0.761078249,0.768441415
5000,0.705763335,0.728943438,0.733292146,,0.603004167,0.632198817,0.637968857,,0.622695118,0.724930674,0.725012442,,0.621665605,0.7236132,0.728949653,,0.576933578,0.685621249,0.689187724,,0.667493388,0.763912198,0.77116379
6000,0.707205944,0.727147101,0.732302958,,0.605007347,0.630352138,0.636173164,,0.645330605,0.739551926,0.739404769,,0.622686511,0.726655288,0.732059068,,0.580627565,0.689213254,0.692757604,,0.671269862,0.766008741,0.773186665
7000,0.709715692,0.731376928,0.736131777,,0.606227945,0.634738996,0.640192133,,0.660281649,0.743973168,0.743797167,,0.625189163,0.726007499,0.731483864,,0.585806767,0.694666125,0.69817489,,0.673362078,0.766825425,0.773994696
8000,0.711056316,0.733612696,0.738439048,,0.607587201,0.635810431,0.641097512,,0.666869779,0.749652917,0.749423703,,0.626410474,0.728183966,0.733784529,,0.591264794,0.697776373,0.701270459,,0.672043295,0.76552882,0.772809457
9000,0.714161677,0.738458307,0.742828937,,0.609315497,0.635714518,0.641029396,,0.67056323,0.752879401,0.752657897,,0.6284027,0.730166702,0.735848987,,0.59409552,0.697942475,0.70147414,,0.670757675,0.763742379,0.771155315
10000,0.715419214,0.735955687,0.740566076,,0.610836268,0.63578106,0.641030032,,0.673195503,0.753110138,0.752901261,,0.629478109,0.729373046,0.735147922,,0.59419495,0.698383142,0.701942616,,0.669582442,0.761771431,0.769349416
11000,0.716738842,0.73850005,0.743050929,,0.613399832,0.642572758,0.647754455,,0.672363638,0.753117638,0.752832101,,0.629481694,0.73053097,0.736335624,,0.595332028,0.699982333,0.703572804,,0.665396299,0.759382966,0.767163969
